ListSize,InsertionSort(us),ShellSort(us),MergeSort(us),IterativeMergeSort(us),QuickSort(us),
10,1,
20,2,
30,3,
40,5,
50,4,
60,7,
70,9,
80,12,
90,12,
100,18,
200,57,
300,100,
400,191,
500,293,
600,463,
700,621,
800,905,
900,965,
1000,1241,
2000,4843,
3000,10126,
4000,17495,
5000,25452,
6000,35329,
7000,50638,
8000,67822,
9000,88610,
10000,109620,
20000,437153,
30000,894953,
40000,1651188,
50000,2575982,
60000,3772285,
70000,5249778,
80000,6734424,
90000,8355251,
100000,10353149,
200000,41800191,
300000,91273609,
400000,165803105,
500000,257068773,
600000,368200548,
700000,502886036,
800000,656483140,
900000,827719714,
1000000,1024966792,
2000000,
3000000,
4000000,
5000000,
6000000,
7000000,
8000000,
9000000,
10000000,
